xoro_gl_account_name,occurrences,dollars,suggested_rof_account,notes
"5006 General and Administrative:Insurance",20,"$17,921.29",,
"5006 General and Administrative:Warehouse Supplies Exp Charged",6,"$3,877.55",,
"5006 General and Administrative:HR Software Expense",9,"$3,071.00",,
"5006 General and Administrative:Interest Paid",1,"$2,437.00",,
"5008 Website and E-commerce:Website Development Expense",1,"$749.95",,
"9999 - Opening Balance Equity",2,"$510.20",,
"Disputed Freight & Hand. - 491",1,"$170.00",,
