doc_type,invoice_number,subledger_amount,xoro_gl_amount,diff
AR,ROF ECOM-I009167,23.40,33.29,-9.89
AR,ROF ECOM-I009148,27.00,35.81,-8.81
AR,ROF-I010368,101.00,146.70,-45.70
AR,ROF ECOM-I011185,26.40,36.05,-9.65
AR,PT-I010373,30.52,60.79,-30.27
AR,ROF ECOM-I011181,28.90,37.71,-8.81
AR,ROF ECOM-I011194,56.80,71.65,-14.85
AR,ROF ECOM-I011317,90.40,83.22,7.18
AR,ROF ECOM-I011207,26.70,34.59,-7.89
AR,PT-I011308,188.81,113.28,75.53
AR,ROF ECOM-I011188,112.00,98.85,13.15
AR,ROF-I010350,19.00,29.10,-10.10
AR,ROF ECOM-I011190,28.90,44.60,-15.70
AR,PT-I010400,228.00,345.00,-117.00
AR,ROF ECOM-I012793,47.60,60.05,-12.45
AR,ROF ECOM-I009136,26.40,45.56,-19.16
AR,PT-I009127,186.84,112.10,74.74
AR,ROF-I010366,111.10,164.50,-53.40
AR,ROF ECOM-I010382,30.60,39.59,-8.99
AR,PT-I010399,339.00,402.00,-63.00
AR,ROF-I010367,30.30,50.20,-19.90
AR,PT-I010405,237.00,393.00,-156.00
AR,ROF ECOM-I011391,55.40,65.38,-9.98
AR,ROF ECOM-I011206,29.20,34.91,-5.71
AR,PT-I011178,141.68,95.53,46.15
AR,ROF ECOM-I011189,31.00,39.99,-8.99
AR,ROF ECOM-I011184,57.80,71.18,-13.38
AR,PT-I011193,1297.00,1374.60,-77.60
AR,ROF ECOM-I011187,29.50,39.72,-10.22
AR,ROF ECOM-I011210,164.40,151.92,12.48
AR,ROF ECOM-I011182,25.50,38.71,-13.21
AR,ROF ECOM-I009133,26.40,36.05,-9.65
AR,PT-I009122,71.94,68.62,3.32
AR,PT-I011198,126.39,85.51,40.88
AR,ROF ECOM-I009111,58.20,71.41,-13.21
AR,PT-I011201,89.84,82.94,6.90
AR,ROF ECOM-I011214,105.30,94.64,10.66
AR,ROF ECOM-I009166,28.50,39.06,-10.56
AR,ROF ECOM-I009162,21.00,33.45,-12.45
AR,ROF ECOM-I009134,26.40,36.82,-10.42
AR,PT-I009123,126.39,75.83,50.56
AR,ROF ECOM-I009149,160.80,136.68,24.12
AR,ROF ECOM-I009164,15.00,21.56,-6.56
AR,ROF ECOM-I009110,23.40,29.78,-6.38
AR,ROF ECOM-I009130,49.20,56.54,-7.34
AR,ROF ECOM-I009102,86.40,102.56,-16.16
AR,ROF ECOM-I009101,26.70,36.38,-9.68
AR,ROF ECOM-I009152,18.90,27.71,-8.81
AR,ROF ECOM-I009139,15.00,21.81,-6.81
AR,ROF ECOM-I009174,37.80,48.36,-10.56
AR,PT-I009126,22.36,33.49,-11.13
AR,ROF ECOM-I009156,33.00,40.34,-7.34
AR,ROF ECOM-I009112,15.00,22.10,-7.10
AR,ROF ECOM-I013544,58.10,71.31,-13.21
AR,ROF ECOM-I009253,63.80,55.59,8.21
AR,ROF ECOM-I009132,70.20,67.50,2.70
AR,ROF ECOM-I009247,15.00,22.10,-7.10
AR,ROF ECOM-I009246,57.60,63.08,-5.48
AR,PT-I009240,134.88,96.09,38.79
AR,ROF ECOM-I009250,36.00,50.85,-14.85
AR,ROF ECOM-I009260,106.80,105.00,1.80
AR,ROF ECOM-I009261,12.00,22.56,-10.56
AR,ROF ECOM-I009165,17.40,27.96,-10.56
AR,ROF ECOM-I009245,82.80,101.06,-18.26
AR,ROF ECOM-I009277,36.00,43.65,-7.65
AR,ROF ECOM-I009172,28.50,38.51,-10.01
AR,ROF ECOM-I009249,54.90,65.32,-10.42
AR,ROF ECOM-I012788,19.00,46.81,-27.81
AR,ROF ECOM-I009163,54.00,70.26,-16.26
AR,PT-I009241,62.95,78.32,-15.37
AR,ROF ECOM-I011212,28.50,37.74,-9.24
AR,PT-I009243,32.97,36.75,-3.78
AR,ROF ECOM-I009248,25.50,33.42,-7.92
AR,ROF ECOM-I011202,85.50,78.29,7.21
AR,ROF ECOM-I009258,58.40,58.16,0.24
AR,ROF ECOM-I011211,86.20,84.22,1.98
AR,ROF ECOM-I011204,28.00,37.01,-9.01
AR,ROF ECOM-I011209,58.40,70.85,-12.45
AR,ROF ECOM-I014068,16.99,18.18,-1.19
AR,ROF ECOM-I011303,100.80,88.45,12.35
AR,ROF ECOM-I011278,96.40,87.89,8.51
AR,ROF ECOM-I011295,86.70,78.62,8.08
AR,ROF ECOM-I011279,87.60,80.55,7.05
AR,ROF ECOM-I011291,158.20,135.69,22.51
AR,PT-I009109,27.48,38.55,-11.07
AR,ROF ECOM-I009140,46.80,44.99,1.81
AR,ROF ECOM-I009105,33.00,44.63,-11.63
AR,ROF-I011784,241.65,328.15,-86.50
AR,ROF ECOM-I011208,56.00,70.85,-14.85
AR,ROF ECOM-I009255,62.50,64.12,-1.62
AR,ROF ECOM-I009262,57.80,58.51,-0.71
AR,ROF ECOM-I011289,84.90,76.33,8.57
AR,ROF ECOM-I011287,62.80,61.95,0.85
AR,ROF ECOM-I011284,39.20,45.84,-6.64
AR,ROF ECOM-I011314,54.00,67.25,-13.25
AR,ROF ECOM-I011274,24.10,32.91,-8.81
AR,ROF ECOM-I011311,31.00,42.01,-11.01
AR,ROF ECOM-I011302,24.40,37.40,-13.00
AR,PT-I011313,227.44,136.46,90.98
AR,ROF ECOM-I014572,28.90,37.24,-8.34
AR,ROF-I011782,295.35,390.50,-95.15
AR,ROF-I011818,476.15,628.30,-152.15
AR,ROF ECOM-I011360,20.40,32.82,-12.42
AR,ROF ECOM-I011348,22.60,33.16,-10.56
AR,ROF-I011544,205.55,266.10,-60.55
AR,ROF-I011686,64.75,248.50,-183.75
AR,ROF ECOM-I011326,52.70,65.91,-13.21
AR,ROF-I011947,71.60,275.35,-203.75
AR,ROF-I011836,155.70,792.70,-637.00
AR,ROF-I011717,114.60,637.85,-523.25
AR,ROF ECOM-I011344,57.60,71.20,-13.60
AR,ROF ECOM-I011343,26.70,37.12,-10.42
AR,ROF ECOM-I011380,24.00,37.21,-13.21
AR,ROF ECOM-I011353,92.10,99.05,-6.95
AR,ROF ECOM-I011399,19.00,29.56,-10.56
AR,ROF ECOM-I011282,27.70,36.51,-8.81
AR,ROF-I011571,71.60,284.00,-212.40
AR,ROF-I011673,95.15,381.85,-286.70
AR,ROF ECOM-I011304,26.40,36.56,-10.16
AR,ROF ECOM-I011334,26.70,39.91,-13.21
AR,ROF-I011530,62.65,187.95,-125.30
AR,ROF ECOM-I011395,26.70,39.15,-12.45
AR,ROF ECOM-I011361,22.60,32.79,-10.19
AR,ROF-I011781,322.20,391.40,-69.20
AR,ROF-I011853,123.20,248.50,-125.30
AR,ROF-I011731,64.75,170.35,-105.60
AR,ROF ECOM-I011350,53.60,58.77,-5.17
AR,ROF ECOM-I011309,28.00,41.21,-13.21
AR,ROF ECOM-I011379,52.00,57.41,-5.41
AR,PT-I011374,71.94,68.62,3.32
AR,ROF-I011666,161.10,328.15,-167.05
AR,ROF ECOM-I011354,19.00,27.81,-8.81
AR,ROF-I011707,62.65,187.95,-125.30
AR,ROF-I011817,320.45,619.65,-299.20
AR,ROF ECOM-I011384,97.40,98.94,-1.54
AR,ROF-I011845,69.20,266.40,-197.20
AR,ROF-I011796,15048.00,31581.00,-16533.00
AR,ROF-I011939,125.30,248.50,-123.20
AR,ROF-I011616,129.75,619.65,-489.90
AR,PT-I011356,60.45,62.03,-1.58
AR,ROF ECOM-I011296,28.00,44.80,-16.80
AR,ROF-I011904,147.05,619.65,-472.60
AR,ROF-I011831,95.15,399.15,-304.00
AR,ROF-I011829,138.40,302.20,-163.80
AR,ROF ECOM-I011358,102.40,99.10,3.30
AR,ROF-I011551,62.65,187.95,-125.30
AR,ROF-I011583,123.20,187.95,-64.75
AR,PT-I011377,28.48,42.81,-14.33
AR,ROF-I011783,131.85,257.15,-125.30
AR,ROF ECOM-I011420,79.62,133.75,-54.13
AR,ROF-I011637,60.55,187.95,-127.40
AR,PT-I011396,138.00,110.40,27.60
AR,ROF-I011625,183.75,248.50,-64.75
AR,ROF ECOM-I011401,48.80,58.10,-9.30
AR,ROF ECOM-I011275,35.10,48.31,-13.21
AR,ROF-I011764,64.75,266.10,-201.35
AR,ROF ECOM-I012792,30.10,40.66,-10.56
AR,PT-I011333,27.48,38.55,-11.07
AR,PT-I011346,167.12,100.27,66.85
AR,ROF-I011531,60.55,329.05,-268.50
AR,ROF-I011816,95.15,381.85,-286.70
AR,PT-I011340,60.45,59.43,1.02
AR,ROF-I011523,1065.20,2844.65,-1779.45
AR,PT-I011341,197.82,118.69,79.13
AR,ROF-I011725,60.55,266.10,-205.55
AR,ROF ECOM-I011347,29.20,39.59,-10.39
AR,ROF ECOM-I011394,51.20,63.57,-12.37
AR,ROF ECOM-I011307,29.20,39.79,-10.59
AR,ROF ECOM-I011276,28.90,36.11,-7.21
AR,ROF ECOM-I011383,28.90,39.12,-10.22
AR,ROF ECOM-I011393,58.40,65.55,-7.15
AR,ROF ECOM-I011423,25.60,34.62,-9.02
AR,ROF ECOM-I011359,22.60,32.49,-9.89
AR,PT-I011373,102.46,74.90,27.56
AR,ROF ECOM-I011376,63.80,60.08,3.72
AR,ROF ECOM-I011352,22.00,32.56,-10.56
AR,ROF ECOM-I011382,28.90,39.46,-10.56
AR,ROF ECOM-I011378,116.80,134.89,-18.09
AR,ROF ECOM-I011402,137.90,151.35,-13.45
AR,PT-I011415,32.48,45.53,-13.05
AR,ROF ECOM-I011400,59.00,63.36,-4.36
AR,PT-I011392,135.97,122.33,13.64
AR,ROF ECOM-I011417,20.40,30.96,-10.56
AR,ROF ECOM-I011421,17.50,27.39,-9.89
AR,ROF ECOM-I011424,57.00,79.76,-22.76
AR,ROF ECOM-I011427,48.20,53.42,-5.22
AR,ROF ECOM-I011418,17.50,25.43,-7.93
AR,ROF-I011710,214.80,513.75,-298.95
AR,ROF ECOM-I011473,115.30,112.48,2.82
AR,ROF ECOM-I011453,134.90,120.77,14.13
AR,ROF-I011723,169.75,328.15,-158.40
AR,ROF ECOM-I011481,26.70,40.18,-13.48
AR,ROF-I011614,101.75,390.50,-288.75
AR,ROF ECOM-I011461,158.80,127.04,31.76
AR,ROF ECOM-I011462,25.60,34.41,-8.81
AR,ROF-I011529,60.55,266.10,-205.55
AR,ROF-I011553,123.20,248.50,-125.30
AR,ROF ECOM-I011456,23.80,34.36,-10.56
AR,ROF-I013965,19.00,65.90,-46.90
AR,ROF-I011659,376.20,628.30,-252.10
AR,ROF ECOM-I011452,93.00,97.16,-4.16
AR,ROF ECOM-I011480,52.00,55.72,-3.72
AR,ROF-I011696,203.75,275.35,-71.60
AR,ROF ECOM-I011475,26.70,35.69,-8.99
AR,PT-I011465,92.80,76.03,16.77
AR,PT-I012782,46.75,47.17,-0.42
AR,ROF-I011691,255.35,638.75,-383.40
AR,ROF ECOM-I011458,26.40,38.67,-12.27
AR,ROF-I011987,494.15,2142.05,-1647.90
AR,ROF ECOM-I011454,28.90,32.90,-4.00
AR,ROF-I011632,62.65,187.95,-125.30
AR,ROF-I011526,382.50,638.15,-255.65
AR,ROF ECOM-I011482,28.50,41.71,-13.21
AR,ROF ECOM-I011467,82.20,79.88,2.32
AR,ROF-I011577,83.25,310.85,-227.60
AR,ROF ECOM-I011450,26.70,39.91,-13.21
AR,ROF ECOM-I011476,28.00,38.48,-10.48
AR,ROF-I011671,206.15,275.35,-69.20
AR,ROF ECOM-I014599,29.20,42.41,-13.21
AR,ROF-I011568,77.85,319.50,-241.65
AR,ROF ECOM-I011442,26.40,37.15,-10.75
AR,ROF ECOM-I011440,29.20,32.87,-3.67
AR,ROF ECOM-I011439,116.20,109.12,7.08
AR,PT-I011463,96.00,86.03,9.97
AR,ROF ECOM-I011506,28.90,92.32,-63.42
AR,PT-I011434,250.22,164.40,85.82
AR,ROF ECOM-I011471,29.50,37.84,-8.34
AR,ROF-I011729,193.60,478.25,-284.65
AR,PT-I011436,35.97,47.04,-11.07
AR,ROF-I011595,60.55,178.70,-118.15
AR,ROF ECOM-I011472,51.80,55.89,-4.09
AR,ROF-I011721,60.55,187.95,-127.40
AR,ROF-I011575,64.75,248.50,-183.75
AR,ROF-I011730,60.55,187.95,-127.40
AR,ROF-I011589,64.75,248.50,-183.75
AR,PT-I011466,44.80,55.87,-11.07
AR,ROF-I011565,125.30,248.50,-123.20
AR,ROF ECOM-I011483,155.00,141.51,13.49
AR,ROF-I011606,123.20,239.25,-116.05
AR,ROF ECOM-I011485,51.20,52.76,-1.56
AR,ROF-I011656,292.05,390.50,-98.45
AR,ROF-I011651,64.75,248.50,-183.75
AR,ROF-I011690,167.35,346.35,-179.00
AR,ROF-I011801,152.15,637.85,-485.70
AR,ROF-I011809,98.45,390.50,-292.05
AR,ROF-I011905,10.10,19.00,-8.90
AR,ROF-I011838,60.55,248.50,-187.95
AR,ROF-I011925,133.95,266.10,-132.15
AR,ROF-I011662,74.00,214.80,-140.80
AR,ROF-I011761,129.50,611.00,-481.50
AR,ROF-I011779,98.45,399.15,-300.70
AR,ROF-I011635,69.20,214.80,-145.60
AR,ROF-I011983,127.40,187.95,-60.55
AR,ROF-I011683,125.30,248.50,-123.20
AR,ROF-I011540,71.60,214.80,-143.20
AR,ROF-I011628,77.85,400.05,-322.20
AR,ROF-I011680,64.75,170.35,-105.60
AR,ROF-I011618,83.25,310.85,-227.60
AR,ROF-I011854,60.55,248.50,-187.95
AR,ROF-I011518,802.20,6638.55,-5836.35
AR,ROF-I011623,103.80,363.65,-259.85
AR,ROF-I011871,161.10,328.15,-167.05
AR,ROF-I011627,64.75,248.50,-183.75
AR,ROF-I011609,86.50,451.40,-364.90
AR,ROF-I011821,51.90,161.10,-109.20
AR,ROF-I011870,64.75,248.50,-183.75
AR,ROF-I011653,125.30,248.50,-123.20
AR,ROF-I011593,60.55,248.50,-187.95
AR,ROF-I011774,134.25,638.75,-504.50
AR,ROF-I011631,60.55,187.95,-127.40
AR,ROF ECOM-I006999,53.40,68.25,-14.85
AR,ROF-I011705,69.20,214.80,-145.60
AR,ROF-I011560,98.45,390.50,-292.05
AR,ROF-I012873,664.20,1181.40,-517.20
AR,ROF-I011848,147.05,629.20,-482.15
AR,ROF-I011703,125.30,187.95,-62.65
AR,ROF-I011693,60.55,187.95,-127.40
AR,ROF-I011633,125.30,187.95,-62.65
AR,ROF-I011667,64.75,187.95,-123.20
AR,ROF-I011681,74.00,214.80,-140.80
AR,ROF-I011605,64.75,187.95,-123.20
AR,ROF-I011833,95.15,390.50,-295.35
AR,ROF-I011891,80.55,337.40,-256.85
AR,PT-I011499,44.00,55.07,-11.07
AR,ROF-I011561,60.55,248.50,-187.95
AR,ROF-I011943,8.90,19.00,-10.10
AR,ROF-I011563,116.05,178.70,-62.65
AR,ROF-I011550,120.25,619.65,-499.40
AR,ROF-I011900,60.55,187.95,-127.40
AR,ROF-I011539,83.25,301.90,-218.65
AR,ROF-I011708,64.75,187.95,-123.20
AR,ROF-I011815,69.20,284.00,-214.80
AR,ROF-I011918,77.85,400.05,-322.20
AR,ROF-I011743,95.15,373.20,-278.05
AR,ROF-I011770,234.80,611.00,-376.20
AR,ROF-I011545,95.15,390.50,-295.35
AR,ROF-I011629,77.85,346.35,-268.50
AR,ROF-I011767,89.50,337.70,-248.20
AR,ROF-I011682,64.75,205.55,-140.80
AR,ROF ECOM-I011502,19.00,146.14,-127.14
AR,ROF ECOM-I014597,29.20,36.80,-7.60
AR,ROF-I012830,40.40,49.30,-8.90
AR,ROF-I011698,162.35,792.70,-630.35
AR,ROF-I011525,62.65,248.50,-185.85
AR,ROF-I011960,60.55,275.35,-214.80
AR,ROF-I011620,62.65,248.50,-185.85
AR,ROF-I011597,77.85,505.40,-427.55
AR,ROF-I011990,241.65,998.90,-757.25
AR,ROF-I011596,60.55,248.50,-187.95
AR,ROF-I011704,127.40,187.95,-60.55
AR,ROF-I011986,687.60,6789.55,-6101.95
AR,ROF-I011780,64.75,205.55,-140.80
AR,ROF-I011581,53.70,230.90,-177.20
AR,ROF-I011823,185.85,248.50,-62.65
AR,ROF-I011527,111.00,408.70,-297.70
AR,ROF-I011554,83.25,293.25,-210.00
AR,ROF-I011594,125.30,187.95,-62.65
AR,ROF-I011732,62.65,187.95,-125.30
AR,ROF-I012847,19.60,29.70,-10.10
AR,ROF-I011810,105.05,628.30,-523.25
AR,ROF-I011830,60.55,293.85,-233.30
AR,ROF ECOM-I013517,31.00,39.99,-8.99
AR,ROF-I012937,396.00,732.50,-336.50
AR,ROF ECOM-I013504,31.00,105.55,-74.55
AR,PT-I013437,48.00,69.86,-21.86
AR,ROF ECOM-I013281,29.20,56.02,-26.82
AR,ROF ECOM-I013509,27.70,36.51,-8.81
AR,ROF ECOM-I013459,172.50,146.62,25.88
AR,ROF-I011896,69.20,214.80,-145.60
AR,ROF ECOM-I012972,28.90,32.53,-3.63
AR,PT-I013497,48.00,59.07,-11.07
AR,ROF-I012941,528.50,732.50,-204.00
AR,PT-I012954,144.00,243.00,-99.00
AR,ROF-I012626,52104.00,26052.00,26052.00
AR,ROF ECOM-I012977,116.80,133.20,-16.40
AR,ROF ECOM-I012650,57.50,99.48,-41.98
AR,ROF ECOM-I012728,56.60,69.05,-12.45
AR,ROF ECOM-I013410,31.00,33.27,-2.27
AR,ROF ECOM-I012637,39.20,48.32,-9.12
AR,PT-I013070,596.00,1395.00,-799.00
AR,ROF ECOM-I013095,31.60,34.02,-2.42
AR,ROF-I013182,460.00,1474.11,-1014.11
AR,PT-I013112,48.00,92.67,-44.67
AR,ROF ECOM-I013318,76.80,114.36,-37.56
AR,PT-I012805,76.00,87.07,-11.07
AR,PT-I013259,69.45,68.71,0.74
AR,ROF ECOM-I013349,111.10,147.45,-36.35
AR,ROF ECOM-I013319,25.60,34.59,-8.99
AR,ROF ECOM-I013515,67.80,63.99,3.81
AR,ROF ECOM-I013315,62.00,75.21,-13.21
AR,ROF-I013044,18.70,27.60,-8.90
AR,ROF ECOM-I012720,58.40,98.07,-39.67
AR,ROF-I012818,8.90,19.00,-10.10
AR,ROF ECOM-I013293,60.80,58.30,2.50
AR,ROF ECOM-I012635,72.00,66.62,5.38
AR,ROF ECOM-I013075,58.40,56.43,1.97
AR,ROF ECOM-I013109,40.80,40.17,0.63
AR,ROF ECOM-I013321,58.40,58.65,-0.25
AR,ROF-I013068,8.90,17.80,-8.90
AR,ROF ECOM-I012815,82.20,137.00,-54.80
AR,PT-I012785,72.00,136.00,-64.00
AR,ROF-I012852,8.90,17.80,-8.90
AR,PT-I012694,46.75,103.75,-57.00
AR,ROF ECOM-I013176,28.90,33.37,-4.47
AR,ROF ECOM-I013344,20.40,21.83,-1.43
AR,PT-I013269,55.55,69.07,-13.52
AR,ROF ECOM-I012652,25.60,64.38,-38.78
AR,ROF ECOM-I012724,29.50,127.41,-97.91
AR,PT-I012892,48.00,52.25,-4.25
AR,PT-I013338,64.00,115.20,-51.20
AR,ROF ECOM-I012753,29.20,42.41,-13.21
AR,ROF ECOM-I012976,179.20,136.22,42.98
AR,ROF ECOM-I013494,58.70,67.51,-8.81
AR,PT-I012885,84.50,99.14,-14.64
AR,ROF-I012944,351.45,730.45,-379.00
AR,ROF ECOM-I012965,25.60,34.59,-8.99
AR,ROF-I012969,9000.00,17565.00,-8565.00
AR,PT-I012744,48.00,59.07,-11.07
AR,PT-I013152,143.88,107.91,35.97
AR,ROF ECOM-I013248,26.50,39.71,-13.21
AR,ROF-I012940,192.00,732.50,-540.50
AR,ROF ECOM-I013130,25.00,29.06,-4.06
AR,ROF ECOM-I013001,89.40,82.08,7.32
AR,ROF ECOM-I012897,27.70,38.10,-10.40
AR,ROF ECOM-I012891,63.20,69.77,-6.57
AR,PT-I012695,35.00,40.23,-5.23
AR,PT-I013336,44.00,53.23,-9.23
AR,PT-I013000,28.00,66.36,-38.36
AR,ROF-I012842,27.90,45.70,-17.80
AR,ROF-I012942,356.45,730.45,-374.00
AR,ROF ECOM-I012754,29.20,39.09,-9.89
AR,PT-I012696,48.00,142.75,-94.75
AR,ROF-I013369,4590.00,40810.50,-36220.50
AR,PT-I012902,48.00,51.87,-3.87
AR,ROF ECOM-I012896,29.50,33.88,-4.38
AR,ROF ECOM-I013242,50.30,92.47,-42.17
AR,ROF ECOM-I013383,29.20,31.44,-2.24
AR,PT-I013513,31.45,61.62,-30.17
AR,ROF ECOM-I013175,29.50,40.49,-10.99
AR,PT-I013298,144.00,108.00,36.00
AR,ROF ECOM-I013454,57.80,101.10,-43.30
AR,ROF ECOM-I013346,31.90,43.14,-11.24
AR,ROF ECOM-I013492,53.60,67.03,-13.43
AR,PT-I013303,48.00,60.97,-12.97
AR,ROF ECOM-I013099,85.80,125.22,-39.42
AR,ROF ECOM-I013116,25.60,56.99,-31.39
AR,ROF ECOM-I012959,53.60,92.66,-39.06
AR,ROF-I013009,504.50,817.50,-313.00
AR,ROF ECOM-I013125,150.80,126.72,24.08
AR,PT-I012952,71.94,85.88,-13.94
AR,ROF ECOM-I013521,57.00,67.56,-10.56
AR,ROF ECOM-I013117,31.00,31.28,-0.28
AR,ROF ECOM-I014613,28.90,39.68,-10.78
AR,ROF ECOM-I013289,48.00,66.06,-18.06
AR,PT-I012640,76.05,98.34,-22.29
AR,PT-I012690,115.50,104.14,11.36
AR,ROF ECOM-I006856,53.40,71.66,-18.26
AR,ROF ECOM-I013292,28.90,32.90,-4.00
AR,ROF-I012868,17.80,26.70,-8.90
AR,ROF ECOM-I012962,31.00,39.99,-8.99
AR,ROF-I014621,7337.00,15718.00,-8381.00
AR,PT-I013083,28.00,62.22,-34.22
AR,ROF ECOM-I013094,31.60,34.02,-2.42
AR,ROF ECOM-I013143,29.20,34.82,-5.62
AR,PT-I013847,48.00,91.96,-43.96
AR,ROF ECOM-I014311,48.40,109.76,-61.36
AR,ROF ECOM-I013249,31.60,67.84,-36.24
AR,ROF ECOM-I013251,68.30,71.65,-3.35
AR,ROF ECOM-I013684,148.40,179.75,-31.35
AR,PT-I013939,3694.00,3549.09,144.91
AR,ROF ECOM-I013581,59.00,63.83,-4.83
AR,ROF ECOM-I014129,27.40,37.96,-10.56
AR,ROF ECOM-I014312,76.00,140.49,-64.49
AR,ROF ECOM-I013405,31.00,79.80,-48.80
AR,ROF ECOM-I012928,20.40,50.78,-30.38
AR,PT-I012953,35.00,42.56,-7.56
AR,ROF ECOM-I012986,31.00,39.99,-8.99
AR,PT-I012919,27.50,66.62,-39.12
AR,PT-I012925,48.00,59.07,-11.07
AR,ROF ECOM-I013863,52.00,64.92,-12.92
AR,PT-I014053,118.50,124.87,-6.37
AR,PT-I013557,28.79,53.82,-25.03
AR,ROF-I014405,3960.00,11880.00,-7920.00
AR,PT-I014319,2374.00,5982.90,-3608.90
AR,ROF-I014282,145.50,155.60,-10.10
AR,ROF ECOM-I013673,31.60,39.43,-7.83
AR,ROF ECOM-I014701,87.60,97.65,-10.05
AR,ROF ECOM-I014339,55.40,68.61,-13.21
AR,ROF ECOM-I014088,57.00,69.64,-12.64
AR,ROF ECOM-I013868,28.30,38.19,-9.89
AR,PT-I013769,83.91,77.65,6.26
AR,ROF ECOM-I013864,61.20,72.17,-10.97
AR,ROF ECOM-I014061,30.10,37.65,-7.55
AR,PT-I013788,183.20,137.40,45.80
AR,ROF ECOM-I013688,82.50,90.84,-8.34
AR,ROF ECOM-I014225,31.60,38.86,-7.26
AR,ROF ECOM-I013866,26.50,70.55,-44.05
AR,ROF ECOM-I014360,54.80,59.79,-4.99
AR,PT-I014056,46.75,57.11,-10.36
AR,ROF ECOM-I014100,83.10,178.11,-95.01
AR,PT-I014250,11687.00,20332.00,-8645.00
AR,ROF ECOM-I013867,28.00,56.76,-28.76
AR,ROF ECOM-I013782,27.40,34.61,-7.21
AR,ROF ECOM-I013853,28.90,39.46,-10.56
AR,ROF ECOM-I014346,47.00,48.02,-1.02
AR,PT-I013948,78.50,101.62,-23.12
AR,ROF ECOM-I013798,47.30,59.75,-12.45
AR,PT-I013945,63.05,63.95,-0.90
AR,ROF-I014277,17.80,27.60,-9.80
AR,ROF ECOM-I013549,56.30,54.08,2.22
AR,PT-I013550,55.00,75.71,-20.71
AR,ROF ECOM-I013880,29.20,55.09,-25.89
AR,ROF ECOM-I014356,40.80,119.04,-78.24
AR,ROF ECOM-I014248,57.80,71.01,-13.21
AR,ROF ECOM-I014314,58.40,47.20,11.20
AR,ROF ECOM-I014410,56.00,82.26,-26.26
AR,ROF-I014321,382.40,500.80,-118.40
AR,ROF ECOM-I013779,24.40,62.01,-37.61
AR,ROF ECOM-I013777,116.80,204.40,-87.60
AR,ROF ECOM-I013792,19.00,20.52,-1.52
AR,ROF ECOM-I013762,48.80,62.01,-13.21
AR,ROF-I013987,20.20,30.30,-10.10
AR,PT-I013784,46.75,59.00,-12.25
AR,ROF ECOM-I013747,55.70,108.68,-52.98
AR,ROF ECOM-I013819,28.90,70.25,-41.35
AR,ROF ECOM-I013844,124.00,178.19,-54.19
AR,PT-I013854,48.00,51.88,-3.88
AR,ROF ECOM-I014433,57.50,105.92,-48.42
AR,ROF ECOM-I013734,106.00,144.18,-38.18
AR,ROF ECOM-I013583,51.20,63.57,-12.37
AR,ROF ECOM-I013716,28.00,33.48,-5.48
AR,PBPT-I013730,482.00,1506.19,-1024.19
AR,ROF ECOM-I013894,31.00,39.99,-8.99
AR,ROF ECOM-I013780,28.00,40.65,-12.65
AR,ROF ECOM-I014390,31.00,43.29,-12.29
AR,ROF ECOM-I013756,76.80,100.41,-23.61
AR,ROF ECOM-I013778,19.00,61.70,-42.70
AR,ROF ECOM-I013834,28.00,60.78,-32.78
AR,ROF ECOM-I013888,63.80,102.71,-38.91
AR,ROF ECOM-I014391,63.20,65.41,-2.21
AR,ROF-I014396,15297.15,20402.55,-5105.40
AR,ROF ECOM-I014386,104.00,136.24,-32.24
AR,ROF ECOM-I014383,63.20,66.04,-2.84
AR,PT-I013848,44.00,53.23,-9.23
AR,PT-I013941,4334.00,3487.17,846.83
AR,ROF-I014019,8.90,29.10,-20.20
AR,ROF ECOM-I014303,51.20,54.17,-2.97
AR,ROF-I013978,26.70,46.90,-20.20
AR,ROF ECOM-I013821,28.90,37.24,-8.34
AR,ROF ECOM-I014369,25.60,31.04,-5.44
AR,ROF ECOM-I014412,54.80,68.63,-13.83
AR,ROF ECOM-I013539,164.40,177.14,-12.74
AR,PT-I013811,28.05,78.26,-50.21
AR,ROF ECOM-I014402,57.80,58.37,-0.57
AR,ROF-I013959,123.20,153.50,-30.30
AR,ROF ECOM-I013587,31.00,33.60,-2.60
AR,ROF ECOM-I013791,55.40,138.50,-83.10
AR,ROF ECOM-I013547,31.00,41.56,-10.56
AR,PT-I013541,28.05,34.91,-6.86
AR,PT-I013540,29.75,43.69,-13.94
AR,ROF ECOM-I013605,31.00,39.99,-8.99
AR,ROF ECOM-I013678,40.90,44.50,-3.60
AR,PT-I013787,48.00,60.19,-12.19
AR,PT-I013650,44.00,85.16,-41.16
AR,ROF ECOM-I013839,29.20,39.59,-10.39
AR,ROF ECOM-I013799,29.20,36.85,-7.65
AR,ROF ECOM-I013687,57.80,63.84,-6.04
AR,ROF ECOM-I013896,22.60,31.41,-8.81
AR,ROF ECOM-I013694,19.60,69.38,-49.78
AR,PT-I013855,27.50,41.83,-14.33
AR,ROF ECOM-I013668,29.20,60.89,-31.69
AR,PT-I014642,27.20,38.27,-11.07
AR,ROF-I013998,17.80,27.90,-10.10
AR,PT-I013845,48.00,59.07,-11.07
AR,ROF ECOM-I013956,29.20,67.64,-38.44
AR,ROF ECOM-I013897,97.60,130.53,-32.93
AR,PT-I014644,48.00,62.62,-14.62
AR,ROF ECOM-I014672,29.50,35.54,-6.04
AR,ROF ECOM-I013551,31.00,39.99,-8.99
