doc_type,invoice_number,subledger_amount,xoro_gl_amount,diff
AR,ROF ECOM-I017064,24.70,36.74,-12.04
AR,ROF-I014603,38064.00,19032.00,19032.00
AR,PT-I017001,161.00,174.90,-13.90
AR,PT-I014494,222.85,167.14,55.71
AR,ROF ECOM-I015283,59.30,100.76,-41.46
AR,ROF ECOM-I015447,58.40,73.25,-14.85
AR,ROF ECOM-I014580,48.98,77.24,-28.26
AR,ROF ECOM-I016933,36.40,46.96,-10.56
AR,ROF ECOM-I016961,57.50,70.71,-13.21
AR,PT-I015243,28.00,39.07,-11.07
AR,ROF ECOM-I016861,28.90,36.11,-7.21
AR,ROF ECOM-I016938,29.20,45.82,-16.62
AR,ROF ECOM-I015002,120.50,119.47,1.03
AR,ROF-I014864,90.60,192.80,-102.20
AR,ROF ECOM-I016743,23.50,32.31,-8.81
AR,ROF ECOM-I017088,29.20,34.06,-4.86
AR,ROF ECOM-I017015,31.60,44.81,-13.21
AR,ROF ECOM-I015440,54.80,68.01,-13.21
AR,ROF ECOM-I015489,31.00,43.17,-12.17
AR,ROF ECOM-I015465,23.80,34.36,-10.56
AR,ROF-I014879,151.00,311.60,-160.60
AR,ROF ECOM-I014506,62.00,72.33,-10.33
AR,ROF ECOM-I016849,24.00,31.21,-7.21
AR,ROF ECOM-I015276,24.40,33.21,-8.81
AR,ROF ECOM-I014518,27.70,36.04,-8.34
AR,PT-I017142,48.00,52.12,-4.12
AR,ROF ECOM-I015280,58.40,71.05,-12.65
AR,PT-I015264,48.00,51.87,-3.87
AR,PT-I016837,28.00,39.07,-11.07
AR,ROF ECOM-I015570,29.20,35.41,-6.21
AR,ROF ECOM-I015286,28.90,38.69,-9.79
AR,ROF ECOM-I016931,29.20,38.44,-9.24
AR,PT-I015496,3128.00,10528.00,-7400.00
AR,ROF ECOM-I015046,48.80,90.10,-41.30
AR,PT-I014767,48.00,56.73,-8.73
AR,ROF ECOM-I016829,27.90,38.46,-10.56
AR,ROF ECOM-I014684,115.30,115.37,-0.07
AR,ROF-I015379,8.90,48.10,-39.20
AR,ROF ECOM-I017144,24.10,34.66,-10.56
AR,ROF-I014925,120.80,252.20,-131.40
AR,ROF ECOM-I017021,19.00,29.56,-10.56
AR,ROF-I015404,9.80,63.20,-53.40
AR,ROF ECOM-I015299,56.00,73.54,-17.54
AR,ROF ECOM-I014623,56.60,61.32,-4.72
AR,PT-I016807,150.00,112.50,37.50
AR,ROF ECOM-I014692,29.20,39.02,-9.82
AR,PT-I015427,15.00,23.73,-8.73
AR,ROF ECOM-I016959,39.10,50.67,-11.57
AR,ROF ECOM-I014703,90.30,100.35,-10.05
AR,ROF ECOM-I014536,102.40,118.56,-16.16
AR,ROF ECOM-I017044,23.80,34.36,-10.56
AR,ROF ECOM-I017056,22.60,33.16,-10.56
AR,ROF ECOM-I015567,25.60,37.44,-11.84
AR,ROF ECOM-I017022,28.00,44.88,-16.88
AR,ROF-I015187,9900.00,29700.00,-19800.00
AR,ROF ECOM-I015274,22.60,35.05,-12.45
AR,ROF ECOM-I014680,30.10,38.91,-8.81
AR,ROF ECOM-I017070,59.90,73.49,-13.59
AR,ROF ECOM-I015171,54.80,68.01,-13.21
AR,ROF ECOM-I007554,35.60,41.69,-6.09
AR,ROF ECOM-I014755,57.80,70.19,-12.39
AR,ROF ECOM-I014749,20.40,30.29,-9.89
AR,PT-I014492,48.00,57.23,-9.23
AR,PT-I015140,96.00,108.00,-12.00
AR,PT-I015546,144.00,108.00,36.00
AR,ROF ECOM-I016836,29.20,39.04,-9.84
AR,ROF ECOM-I016856,85.20,92.84,-7.64
AR,PT-I017002,28.00,39.07,-11.07
AR,ROF ECOM-I014688,31.60,48.34,-16.74
AR,ROF ECOM-I007504,171.00,140.10,30.90
AR,ROF ECOM-I014679,28.00,37.78,-9.78
AR,ROF ECOM-I015797,23.80,29.04,-5.24
AR,PT-I015263,114.00,113.35,0.65
AR,ROF ECOM-I006955,27.00,33.46,-6.46
AR,PT-I014811,48.00,50.03,-2.03
AR,ROF-I014868,241.60,475.20,-233.60
AR,ROF ECOM-I015599,31.00,36.24,-5.24
AR,ROF ECOM-I016927,28.90,37.71,-8.81
AR,ROF ECOM-I015223,28.00,38.33,-10.33
AR,ROF ECOM-I006868,46.80,46.46,0.34
AR,ROF-I015401,10.10,27.90,-17.80
AR,PT-I014636,27.50,38.57,-11.07
AR,ROF ECOM-I015473,20.40,32.07,-11.67
AR,ROF ECOM-I015490,31.00,43.17,-12.17
AR,PT-I014614,72.00,72.27,-0.27
AR,ROF ECOM-I016983,68.10,86.36,-18.26
AR,ROF-I014871,120.80,237.60,-116.80
AR,ROF ECOM-I014574,21.30,30.29,-8.99
AR,ROF ECOM-I015445,56.00,87.56,-31.56
AR,ROF ECOM-I014678,29.20,32.05,-2.85
AR,ROF ECOM-I014780,25.60,34.59,-8.99
AR,ROF ECOM-I007501,27.00,33.51,-6.51
AR,PT-I014972,48.00,56.73,-8.73
AR,ROF ECOM-I014659,27.70,36.51,-8.81
AR,ROF ECOM-I016994,26.55,39.76,-13.21
AR,ROF ECOM-I014769,119.50,101.58,17.92
AR,ROF ECOM-I017090,28.00,39.27,-11.27
AR,PT-I016792,63.00,74.07,-11.07
AR,ROF ECOM-I015287,29.20,39.76,-10.56
AR,PT-I015511,56.00,58.67,-2.67
AR,ROF ECOM-I015450,28.90,40.96,-12.06
AR,ROF ECOM-I017006,60.20,78.73,-18.53
AR,ROF ECOM-I008415,32.99,34.80,-1.81
AR,ROF ECOM-I015142,22.20,31.48,-9.28
AR,ROF ECOM-I015598,31.00,39.99,-8.99
AR,ROF-I015408,29.40,47.20,-17.80
AR,ROF ECOM-I014815,28.90,39.46,-10.56
AR,ROF ECOM-I015176,29.20,71.61,-42.41
AR,ROF ECOM-I017071,59.00,62.60,-3.60
AR,ROF ECOM-I006984,28.50,28.52,-0.02
AR,ROF ECOM-I006951,27.00,31.76,-4.76
AR,ROF ECOM-I014471,29.20,40.05,-10.85
AR,ROF ECOM-I015507,29.20,37.54,-8.34
AR,ROF ECOM-I006843,18.00,28.42,-10.42
AR,PT-I015552,48.00,59.36,-11.36
AR,ROF-I014934,151.00,297.00,-146.00
AR,ROF ECOM-I017073,48.80,61.01,-12.21
AR,ROF ECOM-I015151,28.00,35.64,-7.64
AR,ROF ECOM-I015231,28.90,36.57,-7.67
AR,ROF ECOM-I015556,30.10,34.63,-4.53
AR,ROF ECOM-I014520,27.70,68.61,-40.91
AR,PT-I017003,57.00,60.53,-3.53
AR,ROF ECOM-I014669,57.50,64.84,-7.34
AR,PT-I014803,92.00,88.56,3.44
AR,PT-I015553,47.00,56.23,-9.23
AR,ROF ECOM-I014588,29.20,39.38,-10.18
AR,ROF ECOM-I014473,31.00,103.97,-72.97
AR,ROF ECOM-I006965,26.40,36.64,-10.24
AR,ROF ECOM-I016970,50.40,60.73,-10.33
AR,ROF ECOM-I015739,100.00,90.48,9.52
AR,PT-I017004,28.00,35.56,-7.56
AR,ROF ECOM-I007532,29.10,39.66,-10.56
AR,ROF ECOM-I017152,25.20,38.56,-13.36
AR,ROF ECOM-I015562,29.50,31.27,-1.77
AR,ROF ECOM-I006973,57.60,57.32,0.28
AR,ROF ECOM-I017029,31.90,41.79,-9.89
AR,ROF ECOM-I015273,28.90,39.46,-10.56
AR,ROF ECOM-I014822,28.90,36.11,-7.21
AR,ROF ECOM-I014696,57.80,67.04,-9.24
AR,ROF ECOM-I016992,28.90,37.71,-8.81
AR,ROF ECOM-I016793,117.45,132.30,-14.85
AR,ROF-I014859,87.60,193.30,-105.70
AR,ROF-I014940,102.20,223.00,-120.80
AR,ROF ECOM-I006881,61.20,68.35,-7.15
AR,ROF ECOM-I016854,30.10,39.34,-9.24
AR,ROF ECOM-I015429,29.50,31.27,-1.77
AR,ROF ECOM-I014596,144.50,153.20,-8.70
AR,ROF ECOM-I015483,80.00,118.21,-38.21
AR,ROF ECOM-I014745,26.50,35.60,-9.10
AR,ROF ECOM-I015587,116.50,134.97,-18.47
AR,PT-I014788,46.75,57.82,-11.07
AR,PT-I014746,48.00,89.04,-41.04
AR,ROF ECOM-I017027,90.90,107.62,-16.72
AR,ROF ECOM-I015471,22.20,32.09,-9.89
AR,ROF ECOM-I017032,21.00,31.56,-10.56
AR,ROF ECOM-I015293,45.20,59.32,-14.12
AR,ROF ECOM-I016736,73.40,80.91,-7.51
AR,PT-I015139,48.00,59.64,-11.64
AR,PT-I015733,84.00,74.07,9.93
AR,ROF ECOM-I017014,59.00,72.21,-13.21
AR,ROF ECOM-I014773,30.70,72.35,-41.65
AR,ROF-I014857,800.30,1822.30,-1022.00
AR,ROF ECOM-I015170,31.00,43.46,-12.46
AR,ROF ECOM-I017018,19.00,29.56,-10.56
AR,ROF ECOM-I007549,40.80,54.01,-13.21
AR,ROF ECOM-I015621,28.90,38.69,-9.79
AR,ROF ECOM-I017007,56.30,67.30,-11.00
AR,PT-I014968,28.05,66.40,-38.35
AR,PT-I014493,48.00,59.07,-11.07
AR,ROF ECOM-I017079,23.80,34.36,-10.56
AR,ROF ECOM-I014768,58.40,68.45,-10.05
AR,ROF ECOM-I017098,25.60,30.57,-4.97
AR,ROF ECOM-I015594,93.00,103.97,-10.97
AR,ROF ECOM-I015572,28.00,38.34,-10.34
AR,ROF-I014916,87.60,178.20,-90.60
AR,ROF ECOM-I015451,30.10,37.65,-7.55
AR,PT-I015547,48.00,59.36,-11.36
AR,ROF ECOM-I014665,25.60,64.86,-39.26
AR,ROF ECOM-I014783,24.40,34.96,-10.56
AR,ROF ECOM-I015048,58.40,61.04,-2.64
AR,ROF ECOM-I015506,30.10,64.38,-34.28
AR,ROF-I015803,101.40,196.80,-95.40
AR,ROF ECOM-I014686,54.80,98.50,-43.70
AR,PT-I016838,76.00,78.44,-2.44
AR,ROF ECOM-I017068,23.80,34.36,-10.56
AR,ROF-I014887,146.00,297.00,-151.00
AR,ROF ECOM-I015581,30.10,36.15,-6.05
AR,PT-I014787,157.55,118.17,39.38
AR,ROF-I014764,240.00,342.37,-102.37
AR,ROF ECOM-I015303,45.10,56.62,-11.52
AR,ROF ECOM-I017072,24.00,34.56,-10.56
AR,ROF ECOM-I014525,29.20,42.89,-13.69
AR,ROF ECOM-I007004,40.50,43.25,-2.75
AR,ROF ECOM-I007561,26.70,31.93,-5.23
AR,PT-I016956,83.00,81.62,1.38
AR,ROF ECOM-I016937,88.80,104.93,-16.13
AR,ROF ECOM-I016828,53.30,66.39,-13.09
AR,ROF ECOM-I015301,31.90,39.13,-7.23
AR,PT-I015267,47.00,58.07,-11.07
AR,ROF ECOM-I014676,45.90,57.17,-11.27
AR,ROF ECOM-I017095,24.00,33.63,-9.63
AR,ROF ECOM-I017059,23.80,34.36,-10.56
AR,ROF ECOM-I015491,29.20,135.14,-105.94
AR,ROF ECOM-I014784,25.60,35.94,-10.34
AR,ROF ECOM-I015277,73.20,76.34,-3.14
AR,ROF-I015083,17.80,37.40,-19.60
AR,ROF ECOM-I016799,53.60,69.74,-16.14
AR,PT-I015045,92.50,83.22,9.28
AR,ROF ECOM-I014779,89.40,160.72,-71.32
AR,ROF ECOM-I006983,57.00,57.60,-0.60
AR,PT-I017143,47.00,58.07,-11.07
AR,ROF ECOM-I014541,64.70,99.09,-34.39
AR,PT-I016921,27.00,34.44,-7.44
AR,ROF ECOM-I007530,48.90,56.41,-7.51
AR,ROF ECOM-I017016,89.40,92.25,-2.85
AR,ROF ECOM-I015580,115.60,104.02,11.58
AR,ROF ECOM-I015443,53.90,66.55,-12.65
AR,ROF ECOM-I015172,27.90,36.71,-8.81
AR,ROF ECOM-I006964,26.10,35.34,-9.24
AR,ROF ECOM-I014667,29.20,43.10,-13.90
AR,ROF ECOM-I007010,26.70,35.22,-8.52
AR,ROF ECOM-I016969,29.50,42.15,-12.65
AR,ROF ECOM-I017049,48.80,54.69,-5.89
AR,ROF ECOM-I014595,28.00,41.21,-13.21
AR,ROF ECOM-I014990,48.20,60.65,-12.45
AR,PT-I014639,48.00,59.07,-11.07
AR,PT-I015134,67.60,86.16,-18.56
AR,ROF ECOM-I014753,54.80,137.00,-82.20
AR,ROF ECOM-I015448,31.60,100.76,-69.16
AR,ROF ECOM-I014691,20.40,30.29,-9.89
AR,ROF ECOM-I015000,116.80,114.34,2.46
AR,ROF ECOM-I015510,87.60,104.64,-17.04
AR,ROF ECOM-I015226,58.40,73.25,-14.85
AR,PT-I015138,47.00,57.36,-10.36
AR,ROF ECOM-I014618,24.40,59.13,-34.73
AR,PT-I015548,48.00,59.07,-11.07
AR,ROF ECOM-I016847,29.20,39.74,-10.54
AR,ROF ECOM-I014465,29.20,42.41,-13.21
AR,ROF ECOM-I016991,93.00,103.97,-10.97
AR,ROF ECOM-I017031,56.00,68.88,-12.88
AR,ROF ECOM-I016835,28.90,31.07,-2.17
AR,ROF ECOM-I015269,40.80,52.23,-11.43
AR,ROF ECOM-I015745,63.80,74.80,-11.00
AR,ROF ECOM-I015592,93.00,103.97,-10.97
AR,ROF-I015530,32400.00,16200.00,16200.00
AR,ROF ECOM-I016745,45.10,61.01,-15.91
AR,ROF ECOM-I014611,58.40,59.69,-1.29
AR,ROF ECOM-I015290,20.40,49.17,-28.77
AR,ROF-I014866,75.50,148.50,-73.00
AR,ROF ECOM-I153796,34.99,46.86,-11.87
AR,ROF ECOM-I014476,58.40,68.82,-10.42
AR,ROF ECOM-I014546,62.00,62.81,-0.81
AR,ROF-I015365,36.50,45.40,-8.90
AR,ROF-I015079,8.90,56.10,-47.20
AR,ROF ECOM-I014660,90.30,106.46,-16.16
AR,ROF-I014884,75.50,148.50,-73.00
AR,PT-I016790,110.00,92.18,17.82
AR,PT-I016775,96.00,95.84,0.16
AR,PT-I015595,28.00,39.07,-11.07
AR,ROF ECOM-I015515,27.70,68.61,-40.91
AR,ROF ECOM-I014989,28.30,72.51,-44.21
AR,ROF ECOM-I015480,29.20,126.70,-97.50
AR,ROF ECOM-I015502,41.10,119.36,-78.26
AR,ROF ECOM-I017025,95.80,94.64,1.16
AR,ROF ECOM-I015096,21.00,23.04,-2.04
AR,ROF-I014932,90.60,178.20,-87.60
AR,ROF ECOM-I015089,83.10,97.95,-14.85
AR,ROF ECOM-I006991,100.20,82.58,17.62
AR,ROF ECOM-I016960,27.70,44.95,-17.25
AR,ROF ECOM-I006871,23.40,32.21,-8.81
AR,PT-I015221,48.00,56.73,-8.73
AR,ROF-I014918,75.50,148.50,-73.00
AR,ROF-I014872,73.00,148.50,-75.50
AR,PBPT-I006924,1766.00,3345.70,-1579.70
AR,ROF ECOM-I015182,21.00,22.37,-1.37
AR,ROF-I014858,90.60,178.20,-87.60
AR,ROF ECOM-I015180,62.00,107.85,-45.85
AR,ROF ECOM-I016862,22.20,32.09,-9.89
AR,ROF ECOM-I015616,55.40,65.84,-10.44
AR,ROF ECOM-I015284,51.20,67.30,-16.10
AR,ROF ECOM-I016926,21.00,29.81,-8.81
AR,ROF-I014897,87.60,163.10,-75.50
AR,ROF ECOM-I016769,51.20,56.73,-5.53
AR,ROF ECOM-I014998,23.70,34.26,-10.56
AR,ROF ECOM-I014817,29.20,73.25,-44.05
AR,ROF ECOM-I015424,28.00,69.31,-41.31
AR,ROF ECOM-I015173,56.60,87.05,-30.45
AR,PT-I006990,116.91,77.94,38.97
AR,ROF ECOM-I014527,140.80,135.04,5.76
AR,ROF ECOM-I014480,29.20,123.27,-94.07
AR,ROF ECOM-I017078,31.90,45.11,-13.21
AR,ROF-I014936,105.70,207.90,-102.20
AR,ROF ECOM-I015472,31.00,39.99,-8.99
AR,ROF ECOM-I014697,51.20,61.18,-9.98
AR,ROF ECOM-I007535,27.00,33.51,-6.51
AR,ROF ECOM-I015573,31.00,31.37,-0.37
AR,PT-I014615,44.00,54.36,-10.36
AR,ROF ECOM-I017023,32.10,45.31,-13.21
